index,sub_index,title,sub_title,objective,guidance,suggested_evidence,document
4,,Context of the organisation,,,,,
4.1,,Understanding the organisation and its context,,The organisation shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its information security management system,"• Clearly define the aims of the ISMS aligned with the organization's overall goals and vision
• Actively engage and seek input from relevant stakeholders on information security needs
• Establish a comprehensive ISMS scope encompassing all critical information assets and processes
Conduct thorough risk assessments to identify and analyze internal and external threats and vulnerabilities
Develop and implement effective risk treatment plans to address identified vulnerabilities and mitigate potential impacts",Context of Organisation documents interested parties and their interests and was signed off by the Management Review Team <date of meeting>,Context of Organisation
4.2,,Understanding the needs and expectations of interested parties,The organisation shall determine:,"
a) interested parties that are relevant to the information security management system 
","•  Conduct comprehensive stakeholder identification and analysis to understand their information security needs.
• Maintain a regularly updated register of applicable laws, regulations, and contractual obligations.
•  Implement a robust contract review and compliance process to ensure proper information security safeguards.
•  Regularly monitor compliance with legal and regulatory requirements through audits and reviews.
•  Document clear procedures for managing contractual obligations and handling legal an+D7:E13d regulatory compliance.
•  Train personnel on their responsibilities for identifying and addressing information security needs of interested parties",Context of Organisation documents interested parties and their interests and was signed off by the Management Review Team <date of meeting>,Context of Organisation
4.2,,Understanding the needs and expectations of interested parties,,b) the relevant requirements of these interested parties,"• Implement a structured process for analyzing and documenting interested party requirements.
• Seek expert advice on legal and regulatory requirements to ensure correct interpretation.
• Review contracts thoroughly and involve legal counsel as needed for security implications.
• Maintain a centralized and accessible register of information security requirements.
• Regularly review and update requirements based on changes in stakeholder needs, laws, or contracts.
• Provide training to relevant personnel on identifying and managing information security requirements.",Context of Organisation documents interested parties and their interests and was signed off by the Management Review Team <date of meeting>,
4.2,,Understanding the needs and expectations of interested parties,,"c) which of these requirements will be addressed through the information security management
system.","• Conduct a comprehensive risk assessment to inform scope definition and requirements prioritization.
• Involve relevant stakeholders in the scope and requirements identification process.
• Use a structured approach for gap analysis to identify missing or inadequate controls.
• Base control selection on industry best practices, risk assessment findings, and cost-benefit analysis.
• Document and communicate the ISMS scope and requirements to all relevant personnel.
• Regularly review and update the scope and requirements to align with changing business needs and threats.",Context of Organisation documents interested parties and their interests and was signed off by the Management Review Team <date of meeting>,
4.3,,Determining the scope of the information security management system,,"The organisation shall determine the boundaries and applicability of the information security management system to establish its scope.
",,Documented ISMS Scope documents the scope and the boundaries and was signed off by the Management Review Team <date of meeting>,ISMS Scope document
4.3,,Determining the scope of the information security management system,"
 When determining this scope, the organisation shall consider:","a) the external and internal issues referred to in 4.1 
","Conduct a risk assessment to identify external threats and vulnerabilities related to information security.
Review relevant legal and regulatory requirements.
Analyze stakeholder expectations and contractual obligations.
Consider business continuity and disaster recovery needs.","Documented ISMS Scope documents the scope and the boundaries and was signed off by the Management Review Team <date of meeting>.

It is evidenced as taking into consideration the Context of Organisation document and the Organisation Overview",
4.3,,Determining the scope of the information security management system,,"b) the requirements referred to in 4.2
","Conduct an information asset inventory and classification.
Identify key business processes and workflows that involve information assets.
Review existing security controls and their effectiveness.
Analyze the organization's internal structure and information systems landscape.","Documented ISMS Scope documents the scope and the boundaries and was signed off by the Management Review Team <date of meeting>

It is evidenced as taking into consideration the Context of Organisation document and the Organisation Overview",
4.3,,Determining the scope of the information security management system,,"c) interfaces and dependencies between activities performed by the organisation, and those that are performed by other organisations.","Identify all external interfaces and dependencies related to information security.
Analyze the security implications of each interface and dependency.
Determine the scope of the ISMS to address these interfaces and dependencies.","Documented ISMS Scope documents the scope and the boundaries and was signed off by the Management Review Team <date of meeting>

Overview diagrams are in place and set out diagrammatically the boundaries and the scope. ",
4.4,,Information security management system,,"The organization shall establish, implement, maintain and continually improve an information security
management system, including the processes needed and their interactions, in accordance with the
requirements of this document.","• Conduct a comprehensive gap assessment against ISO 27001 requirements.
• Develop clear and comprehensive ISMS policies, procedures, plans, and forms.
• Implement ISMS processes systematically and provide adequate resources.
• Train personnel on ISMS processes and their responsibilities.
• Regularly monitor and measure ISMS performance using appropriate metrics.
• Conduct internal audits to assess ISMS compliance and identify improvement opportunities.
• Hold management reviews to evaluate ISMS effectiveness and make strategic decisions.
• Maintain accurate and up-to-date ISMS documentation and records.","The information security system is in place and evidenced and is high level described in document: The Information Security Management System

There is a Continual Improvement Policy and Continual Improvement Process in place and operating. 

Processes are document and there is an Operations Security Manual in place documenting processes as well as individual guides specific to the ISMS. ",
5,,Leadership,,,,,
5.1,,Leadership and commitment,Top management shall demonstrate leadership and commitment with respect to the information security management system by:,"

a) ensuring the information security policy and the information security objectives are established and are compatible with the strategic direction of the organisation 
","Develop and formally document an Information Security Policy (ISP) aligned with the organization's strategic goals and risk profile.
Establish clear information security objectives measurable, achievable, relevant, and time-bound (SMART).
Ensure the ISP and objectives are communicated and understood at all levels of the organization.","Information security policies are in place. They are documented and evidenced as reviewed, approved, communicated and accepted.

Document: 1 Organisation Overview describes the business and its objectives and mission and values. 

Document: The Information Security Management System sets out the framework for deciding information security objectives as a working document and the Information Security Objectives are documented and communicated in the information security policy. These take into account the Organisation Overview documented findings including the business objectives.",
5.1,,Leadership and commitment,,b) ensuring the integration of the information security management system requirements into the organisation’s processes;,"Integrate information security requirements into relevant business processes, procedures, and activities.
Review and update processes to address security risks and vulnerabilities.
Conduct training and awareness programs on information security for relevant personnel.","Information security policies are in place. They are documented and evidenced as reviewed, approved, communicated and accepted.

There is an Security Operations Manual in place with documented processes that are evidenced as documented, reviewed, approved and operational. 


There is an incident management process and continual improvement process in place and evidenced.

There is a process of internal audit evidenced against the standard and the operational controls. 

",
5.1,,Leadership and commitment,,"c) ensuring that the resources needed for the information security management system are available;
","Allocate sufficient resources (financial, personnel, time) for ISMS implementation, operation, and maintenance.
Define roles and responsibilities for information security within the organization.
Provide necessary tools and technologies to support information security controls.","The context of organisation has taken into account resources as part of internal issues. 

Roles and responsibilities are documented in the Information Security Roles Assigned and Responsibilities document and roles assignment is evidenced along with appropriate deputies.

There is an Information Security Management System Document Tracker.xlsx in place that is used to assign owners to the ISMS documents and it was evidenced as being up to date. 

There is an Annex A Accountability Matrix,  ISMS Annex A Controls - Accountability Matrix - ISO 27002 2022 and 2013 - in place that sets out the control requirements and is evidenced as assigning ownership and responsibility to controls. 

There is a competency matrix in place that sets out the required competencies for information security and those allocated roles in the Information Security Management System have been included. It tracks the level of competence and as evidenced as being used to also identify gaps and training requirements. ",
5.1,,Leadership and commitment,,d) communicating the importance of effective information security management and of conforming to the information security management system requirements;,"Regularly communicate the importance of information security to all personnel.
Promote awareness of the ISMS, its objectives, and roles and responsibilities.
Encourage reporting of security incidents and concerns.","Organisation Overview describes the business and its objectives and mission and values. 

The Information Security Management System sets out the information security objectives based on the Organisation Overview. 

The main information security policy includes the information security objectives and a commitment statement from the chief executive. 

Information Security Awareness and Training Policy sets out the training and awareness and evidence was seen of the operation. 

Information security policies are in place and process are operating in line with the standard and evidenced as reviewed, approved, communicated and accepted. 

A training tool is in operation with all staff enrolled. Basic modules on information security and data protection have been completed a plan of future training was evidenced. 

A Communication Plan is in place and sets out the communications for the year across media and approaches. It includes what will be communicated, by whom, when, to who and how and records evidence of past communications. 

A management review team is documented in the Information Security Roles Assigned and Responsibilities document with allocation in place for roles and appropriate deputies and a structured agenda is evidence as being used with examples of previous meetings minuted. 

Contracts are seen to be in place both with appropriate suppliers and staff that include clauses for information security. ",
5.1,,Leadership and commitment,,e) ensuring that the information security management system achieves its intended outcome(s);,"Define and monitor key performance indicators (KPIs) to measure the effectiveness of the ISMS.
Conduct regular internal audits and management reviews to evaluate ISMS performance.
Continuously improve the ISMS based on audit findings and risk assessments.","Organisation Overview describes the business and its objectives and mission and values. 

The Information Security Management System document sets out the information security objectives based on the Organisation Overview. 

The main information security policy includes the information security objectives and a commitment statement from the chief executive. 

There is a process of incident management in place with an operating incident and corrective log.

There is a process of internal audit in place with internal audits evidenced. 

There is a process of continual improvement in place that includes internal audits and incident management to continually improve the effectiveness of the ISMS in line with the objectives. 

There is a management review meeting that is evidenced as meeting and following the required structured agenda that includes the tracking of progress against the objectives. 

Measures have been determined for the objectives and are being tracked and reported to the management review team meeting. 

There is a regular review of the objectives evidenced with an annual review in place. 
",
5.1,,Leadership and commitment,,f ) directing and supporting persons to contribute to the effectiveness of the information security management system;,"Provide leadership and support to personnel to fulfill their information security responsibilities.
Delegate appropriate authority and accountability for information security within the organization.
Recognize and reward employees who contribute to information security excellence.","Employment contracts and third party contracts include coverage of information security requirements. 

There is a competency matrix in place that sets out the required competencies for information security and those allocated roles in the Information Security Management System have been included. It tracks the level of competence and as evidenced as being used to also identify gaps and training requirements. 

Information Security Awareness and Training Policy sets out the training and awareness and evidence was seen of the operation. 

Information security policies are in place and process are operating in line with the standard and evidenced as reviewed, approved, communicated and accepted. 

A training tool is in operation with all staff enrolled. Basic modules on information security and data protection have been completed a plan of future training was evidenced. 

A Communication Plan is in place and sets out the communications for the year across media and approaches. It includes what will be communicated, by whom, when, to who and how and records evidence of past communications. 

Roles and responsibilities are documented in Information Security Roles Assigned and Responsibilities  document and roles assignment is evidenced along with appropriate deputies.

There is an Information Security Management System Document Tracker in place that is used to assign owners to the ISMS documents and it was evidenced as being up to date. 

There is an ISMS Annex A Controls - Accountability Matrix - ISO 27002 2022 and 2013 in place that sets out the control requirements and is evidenced as assigning ownership and responsibility to controls. 

There is an Security Operations Manual in place with documented processes that are evidenced as documented, reviewed, approved and operational.",
